AI,Adobe Illustrator (AI)
AI2,Adobe Illustrator (AI)
AT1,Fonte Adobe Type 1 (PFB)
AVI,Vídeo do Windows (AVI)
BMP,Bitmap do Windows (BMP)
BRS,Recurso Bitmap do Windows 3.x/NT (EXE)
CALS,Bitmap Compactado CALS (CAL)
CCD,CorelCAD Thumbnail Import Filter (CCD)
CDR,CorelDRAW (CDR)
CDT,CorelDRAW (CDR)
CDX,CorelDRAW Compresso (CDX)
CGM,Computer Graphics Metafile (CGM)
CMF,Corel Metafile (CMF)
CMX50,Corel Presentation Exchange 5.0 (CMX)
CMX60,Corel Presentation Exchange 6/7 (CMX)
CPT,Imagem do Corel PHOTO-PAINT (CPT)
CPT6,Imagem do Corel PHOTO-PAINT (CPT)
CPTDRW,Imagem do Corel PHOTO-PAINT (CPT)
CPX,Corel CMX Compresso (CPX)
CUR,Recurso de Cursor do Windows 3.x/NT (CUR)
DCS,Desktop Color Separation (DCS)
DOC2,MS Word do Windows 2.x (DOC)
DOCM5,MS Word do Macintoch 4.0/5.0 (DOC)
DOC5X,MS Word 4.0/5.0/5.5 (DOC)
DOC6,MS Word do Windows 6.0 (DOC)
DSF,MicroGrafx Designer 6.0 (DSF)
DRW,Micrografx 2.x/3.x (DRW)
DWG,AutoCAD Drawing (DWG)
DXF,AutoCAD (DXF)
EMF,Metafile Avançado do Windows (EMF)
EPS,Encapsulated PostScript (EPS)
FLC,LOTUS Freelance (PRE)
FLIC,AutoDesk FLIC Thumbnail (FLC/FLI)
FMV,Metafile Frame Vector (FMV)
FPX,Imagem Kodak FlashPix (FPX)
GEM,Arquivo GEM (GEM)
GIF,Bitmap CompuServe (GIF)
GIFM,Bitmap CompuServe (GIF)
PGIF,Bitmap CompuServe (GIF)
HGW,Harvard Graphics do Windows (PRS)
HPGL,Arquivo HPGL Plotter (PLT/HGL)
ICO,Recurso de Ícone do Windows 3.x/NT (ICO)
IMAP,Mapa de Imagens Corel (HTM)
IMG,Arquivo do GEM Paint (IMG)
JAVA,Corel Barista (HTM)
JPEG,Bitmaps JPEG (JPG)
MAC,Bitmap MACPaint (MAC)
MET,MET Metafile (MET)
MPEG,Animação MPEG (MPG)
NAP,NAP Metafile (NAP)
OS2,Bitmap do OS/2 (BMP)
PAT,CorelDRAW (CDR)
PCD,Imagem Kodak Photo-CD (PCD)
PCX,PaintBrush (PCX)
PDF,Adobe Portable Document File (PDF)
PEPS,PostScript Interpreted (PS/PRN/EPS)
PGIF,Bitmap CompuServe (GIF)
PGIFM,Bitmap CompuServe (GIF)
PIC,Lotus PIC (PIC)
PICC,Lotus PIC (PIC)
PICS,Animação PICS (PCS)
PICT,Macintosh PICT (PCT)
PIF,IBM PIF (PIF)
PNG,Gráfico Portátil de Redes (PNG)
PP,Picture Publisher 4 (PP4)
PP5,Picture Publisher 5.0 (PP5)
PPT,Microsoft PowerPoint (PPT)
PS,PostScript Interpreted (PS/PRN/EPS)
PSD,Adobe Photoshop (PSD)
QUATTRO,Not So Common Filters
QTM,Filme QuickTime (MOV)
RAW,Corel Raster Image (RAW)
RTF,Rich Text Format (RTF)
SAM2,Ami Professional 2.0/3.0 (SAM)
MSSAM2,Not Installed
SCD,Scodl (SCD)
SCT,Scitex CT Bitmap (SCT)
SHW,CorelSHOW (SHW)
SND,Recurso de Som Mac (SND)
SVX,Amiga 8SVX (SVX)
TAI,CorelTRACE (AI)
TGA,Bitmap Targa (TGA)
TIFF,Bitmap TIFF (TIF)
TTF,Fonte True Type (TTF)
TXT,Texto ANSI (TXT)
TTF,Fonte True Type (TTF)
MSTXT,Common Text Filter
VANSI,Texto ANSI (TXT)
VGEN,Ventura Generated Text (GEN)
VOC,Creative Labs Voice (VOC)
VPRNTAB,Tabela de Impressão Lotus/Excel (PRN)
VTWRTF,Tagwrite - Correspondência de Estilos RTF (RTF)
VTWSGML,Tagwrite - SGML / Modelo Personalizado (?)
VTXT,Texto ASCII (TXT)
VTXT2,Texto ASCII de 8 bits (TXT)
WAV,Waveform do Windows (WAV)
WMF,Metafile do Windows (WMF)
WVL,Bitmap Compactado Wavelet (WI)
WP42,Corel WordPerfect 4.2 (WP4)
WP5,Corel WordPerfect 5.0 (WP5)
WP51,Corel WordPerfect 5.1 (WP5)
WP6,Corel WordPerfect 6.0 (WP6)
WP7,Corel WordPerfect 7.0 (WP7)
WPG,Gráfico WordPerfect (WPG)
WPG2,Corel WordPerfect Graphics (WPG)
WSWIN,Word Star do Windows 1.x, 2.0 (WSW)
WS2000,Word Star 2000 (WSD)
WS7,Word Star 7.0 (WSD)
XYWW4,XYWrite do Windows 4.0 (XY)
